review,time,category
This primer cream very useful and the face become charming ,1520723547000,Face
Got too many pimples after using this,1523715376000,Face
Very Effective.. using since long time.. Really nice foundation..,1524341321000,Face
????????????????????too gud product ,1519424131000,Face
Works great as it protects skin from sun damage. Also no need to lather those heavy sunscreens as this compact does the job equally well.,1524331616000,Face
wooww .... 1st time found a lakme compact realy worth. price is too affortble and the quality is absolutely awesome. ,1525877550000,Face
,1482837251000,Face
nice good,1520457091000,Face
beautiful feel nd long lasting,1527950465000,Face
"It's the 05 Beige Honey CREAM, that I want, please.",1501265724000,Face
skin friendly.     long last  glow,1519660698000,Face
Perfect liner,1510076357000,Lips
it's so bold cool..but wen u have food..once it vo start to fade and u need to reapply for the bold look.apply on moisturized lips for best look..,1498058055000,Lips
excellent,1526495687000,Lips
It has a very thick brush and the bristles isn't of the same length and also takes FOREVER to dry.,1525353951000,Eyes
water proof,1526677370000,Eyes
great,1509132787000,Eyes
"I have been using this product and it's a longlasting one, water proof and give a bright look....",1523415527000,Eyes
nice,1512863844000,Eyes
it gives good coverage...,1520369012000,Eyes
it's awesome product..single Stoke is enough..easy to carry..love it..very less smudge,1498057773000,Eyes
Doesn't smudge easily ,1523715551000,Eyes
it is very light only after 5-6 strokes am color is been seen.. nor its long-lasting..,1526081490000,Eyes
It has a very fine tip and it dries so quickly. A perfect eyeliner for daily use.,1514065955000,Eyes
,1488649141000,Eyes
Good,1488649141000,Eyes
Good,1494591868000,Eyes
Excellent,1496619473000,Eyes
Very good product ,1496858141000,Eyes
.,1500825948000,Eyes
very creamy texture. last for 3hrs,1504047370000,Eyes
I have very sensitive eyes. I have used almost all the Kajal from eyetex to L'Oréal but this H&G Kajal suited my eyes so well. I am in love with this.,1507221753000,Eyes
"Awesome Kajal,jet black,smooth texture just like the other popular brands,made in Germany..????",1511644548000,Eyes
"chuggi
 
Judith",1513767837000,Eyes
Feels good and smooth,1514365021000,Eyes
I thought this to be a steal deal but to my disappointment this turned out to be regular gloss finish and was not matte as the description mentioned. ,1517492070000,Nails
Bad quality .. colour is not exactly the same ,1526486591000,Nails
Bad quality .. colour is not exactly the same ,1526486596000,Nails
Bad quality .. colour is not exactly the same ,1526486599000,Nails
Not a dense brush. Lot of fall outs.,1522246007000,tools
I love this tweezer! It manages to target and pull out even the most difficult eyebrow hair!  ,1519661436000,tools
,1477840741000,tools
"very gentle on skin, multi purpose, quickly absorbs the  toner",1477840741000,tools
nice ,1496528207000,tools
easy absorbent.. very soft and puffy..,1510253100000,tools
get curd,1514456332000,cleaners
For me this face was is average. The face wash gets all of the dirt out of ones face but it's a bubbly face wash which I don't like.,1524793636000,cleaners
pretty good....adds glow to face,1534517061000,cleaners
"after using this I had a pimples at my apple area of my face ,I suggest not to use this product for people having sensitive and normal skin",1519316895000,cleaners
it is a really great product for those facing acne...it worked as a miracle for me,1536157778000,cleaners
product is good,1533728350000,cleaners
It's a good product leaves skin healthy for hours.,1523314421000,cleaners
"fragrance is amazing , leaves your face nourished and smooth. works well for oil skin.",1512930113000,cleaners
it really removes blackheads,1496597413000,scrubs
super,1529517669000,scrubs
,1482855850000,scrubs
,1482855855000,scrubs
,1482855861000,scrubs
,1486490208000,scrubs
"Gives ample moisturization . Whenever the skin gets dry or flaky due to traveling, this is my go to lotion.Perfect for after face wash application",1508114682000,scrubs
,1482855850000,creams
,1482855855000,creams
,1482855861000,creams
,1486490208000,creams
"Gives ample moisturization . Whenever the skin gets dry or flaky due to traveling, this is my go to lotion.Perfect for after face wash application",1508114682000,creams
,1488625197000,creams
Good product,1488625197000,creams
,1483033262000,creams
