review,time,category
Its a nice palette at this price range. Its pigmented and the colours are beautiful.,2018-09-24 14:31:53,Makeup
"The formula of matte shades is good. The shimmery shades barely show up on medium skin tone. Pigmentation is average as compared to other products in the similar price range. Overall it is an average palette. There are better options available with other brands, or the new city mini palettes are also better than this.",2018-09-24 13:50:46,Makeup
I already buy from nykaa .. its product is really good in quality,2018-09-23 03:59:43,Makeup
"Loved all the colours and they are amazing for regular use. Beautifully pigmented, must buy! ❤❤",2018-09-22 19:23:29,Makeup
Highly recommended and nicely pigmented colors.,2018-09-20 12:50:12,Makeup
Got it for 550 on sale. Good at this price point..,2018-09-20 06:34:33,Makeup
Such a cute palette... travel-friendly and those nude shades are awesome...,2018-09-19 09:35:48,Makeup
I'm not super impressed but it works well for beginners.,2018-09-19 01:26:15,Makeup
Colours are beautiful but there is only one matte shade.,2018-09-18 20:37:44,Makeup
It's a very good product...Light and shine... I just love you...Thank you Nykaa!!,2018-09-18 19:07:50,Makeup
"Beautiful shades, just perfect palette for all 
highly pigmented 
price is ok 
love to use it.",2018-09-18 13:50:10,Makeup
I feel for 600 which I bought in to offer its too a huge amount for this palette if I would be getting in original price I wud have not taken this. The product is good but less quantity and small product.,2018-09-18 04:00:24,Makeup
I love this product... it's super smooth and easy to apply...,2018-09-15 10:25:19,Makeup
This product is very bad and it's pigment is not good I don't like this product,2018-09-12 13:26:51,Makeup
The pigmentation of some colours was wayy better when I used a wet brush..overall it's a decent palette. But there are better ones out there.,2018-09-12 13:17:48,Makeup
Worth buying it.. best eyeshadow palette.. can be used as the highlighter.,2018-09-12 12:46:44,Makeup
all the colours are wonderful...you can lighten or brighten your look with these.... Loving it!,2018-09-11 15:20:56,Makeup
If you like nude eyeshadows this would be your best buy. I love the colors.,2018-09-11 07:03:58,Makeup
Ordered it yesterday and I already got it today. The pallete is just awesome. The shades are just perfect. On n all the product is great.,2018-09-10 19:31:57,Makeup
The colours are actually light and I would say it's just ok nice.,2018-09-10 18:24:26,Makeup
The colors are absolutely stunning & they stay on my lips for more than 10 hours & are not drying whatsoever.,2018-09-15 03:47:40,Makeup
Beautiful shades of pink... Soft on applying and long-lasting...,2018-09-13 14:56:13,Makeup
"Last long, full coverage. I love almost all huda products.",2018-09-10 14:03:46,Makeup
Just soo in Love with the shades... its got a nice and soft texture and the best part is a cute mini package.. really handy...,2018-09-10 10:58:51,Makeup
I have always been a fan of Huda Beauty. So glad to finally get it here in India.,2018-09-09 12:13:15,Makeup
"HUDA beauty power pinks pack of 4 is convenient & value for money.  Does seem like a small size, but when I recvd the same depending on your use can last you few months. Indulge and get the packs",2018-09-08 10:25:53,Makeup
Pack of 4 is convenient & value for money..,2018-09-08 10:23:45,Makeup
"Amazing texture very very light weighted very smooth really really amazing going to order more of these in love with the mini collection ❤️
",2018-09-08 04:08:34,Makeup
I received the product in bad packaging and 2 of the lipstick bottles are  broken. Ideally they should come in Nykaa Luxe packaging. I doubt whether they are real or fake.,2018-09-07 16:23:19,Makeup
They came in bad packaging and 2 lipstick bottles are broken.,2018-09-07 16:21:38,Makeup
I love hudabeauty products but was not able to buy in India thanku for bringing hudabeauty in India,2018-09-07 12:07:02,Makeup
I have used many brands in Matt lipstick but this one is best I ever used. The price is wroth it for this lipsticks. I just loved it. Highly recommended to others....,2018-09-05 05:12:12,Makeup
I was waiting for so long to get hands on these....finally huda is in india...thanks to nykaa..details in the description box shows of  nude minis..which has to be corrected.coming to the product..it is long lasting and smells nice...also please bring red edition minis as well,2018-09-04 10:30:42,Makeup
All the 4 shades are so different yet so cohesive! Can’t decide which one I like the best!,2018-09-03 13:36:10,Makeup
All the 4 shades are so different yet so cohesive together. Can’t decide which one I like the most!,2018-09-03 13:35:35,Makeup
"Hudas matte lipsticks are amazing and they now have these small sizes with multiple colours so we can try them all. The power pinks are great for any skin tone esp those with Indian skin. Icon and trophy wife are obviously the best but the other two are amazing as well. You can mix them up as well. They last all day, transfer proof unless your eating something oily. Extremely pigmented and doesn't dry out the lips at all.",2018-09-03 05:55:04,Makeup
This saves a lot of money. These are nude shades for me and they smell like milk and chocolate.,2018-09-02 14:22:38,Makeup
These shades are amazing and long lasting..loved them,2018-09-02 12:10:41,Makeup
The shades are really nice. Love the pigmentation. Very long lasting.,2018-09-02 07:18:35,Makeup
I was so happy to see this power pinks mini best liquid lipstick do invest in these. Beautiful pigment and the colors in this mini power pinks are so so beautiful Thank you Nykaa for making them available.,2018-09-01 18:27:47,Makeup
"Bought iconic 1, great for light eye make up. Not gaudy, just right.",2018-09-17 21:02:20,Makeup
I have ordered Iconic 2 and it seemed used. The case was full of scratches and the back side was completely scratched upon. The brush had shades on it. Used !!!,2018-09-12 08:47:23,Makeup
Not a nice palette for the price. It just doesn’t blend and very stiff.,2018-09-10 15:57:07,Makeup
"Light shades are not pigmented at all. Dark shades are better !! Stay is basic, not good!!",2018-09-09 18:14:14,Makeup
absolutely amazing pallete this made my day,2018-09-01 09:15:51,Makeup
Shimmers are fine the mattes are fine too but the colours don't show much on eyes and they watch beautifully!,2018-08-29 18:28:48,Makeup
This palette is really nice as it had the basic pop of colours required.,2018-08-29 12:02:40,Makeup
"So I bought the Iconic 3 palette, and before that I had the Romantic Smoked palette. I'm not the kind of person who uses eyeshadow for an everyday look, but if you do, then this would be a great pick. It's subtle and not too overwhelming. The colours in the Iconic 3 palette are really beautiful! I found it so much better than the Maybelline Nudes (The rose gold one). The Romantic Smoked palette, I used more than I thought I would. It's got more mattes, the pigment isn't great for eyeshadows in this one, but I've used the grey and brown shades to fill in my eyebrows a bunch of times. So I feel like I got the use out of it. The only thing, theres brands like Wet and Wild out there or even LA girl that have quads for a lesser price that I think are better, pigment wise. ",2018-08-28 14:12:53,Makeup
"I am just in love with this eyeshadow palette, it has both matte and shimmery shades which i like the most. Well pigmented, it doesn't fall off. Over all it's a very good product.",2018-08-26 09:24:57,Makeup
Perfect for beginners,2018-08-25 06:07:16,Makeup
"iconic 3. its a nice pigmented, matt and shimmery combination pallets. anyone who like pinkish or brownish shades iconic 3 is best for them",2018-08-19 20:32:24,Makeup
"They are very pigmented, and the staying power is excellent. There is absolutely no fallout. They blend seamlessly and are really easy to work with. It’s a total value for money.",2018-08-17 11:51:31,Makeup
Hey guys! I would totally recommend iconic 3 pallete! The colours r just fabulous. Totally  worth the buy,2018-08-15 08:27:13,Makeup
"highly pigmented
amazing shades
Beginners..must go for it ",2018-08-14 09:42:29,Makeup
I loved the quality of the colours. Price is pretty affordable.,2018-08-11 20:50:22,Makeup
There is no pigmentation in the shadows. Nothing comes onto the brush when you take the shadow. Complete waste of money,2018-08-11 15:30:58,Makeup
It gives a very fine finish to the eyes and looks superb.,2018-08-08 16:38:38,Makeup
Colors are very bright and blend easily.,2018-08-08 06:57:12,Makeup
I really like this palette. Pigmentation is good. Colours are awesome. A good dupe for naked pallets. I own one as well. But why makeup revolution costs this much in India. They are charging us almost double the price in U.S. minus 2 stars just for the price.,2018-07-29 08:05:23,Makeup
"This eyeshadow palette is good to go product if you only want to invest in a single product.
the pigment is good enough and has a wide range of dark as well as light shades so you can do day eye makeover as well night.",2018-07-26 22:01:59,Makeup
One of the best foundations I have tried so far. It totally looks like 2nd skin.,2018-09-20 15:14:52,Makeup
Love it...but you need to build it up like 2 to 3 layers literally...otherwise its skin like...:),2018-09-18 20:18:09,Makeup
Mufe HD has 40 shades in its international market. Please extend shade range to cater to deeper skin tones in India.,2018-09-16 09:00:10,Makeup
I’ve been using this foundation for the last 3 years and it works wonders on my oily skin. It doesn’t give any breakouts!!! And it’s very long lasting plus the coverage is buildable. I’ve got some acne scars.. it helps it conceal those as well.... thanks Nykaa for launching it... next purchase will be from here now!! :) :),2018-09-15 10:57:23,Makeup
Love this foundation. It gives a flawless finish. Skin looks radiant and hydrated. Air brush effect. ,2018-09-14 17:35:18,Makeup
"I got this foundation from Sephora NY Store. This is the best foundation I have ever had, I have sensitive, combination to oily acne prone skin with random dry patches and this foundation covers my skin flawlessly, no cakey-mess the kind I've experienced with MAC foundations. It is undetectable and makes my skin look stunning. After, I just set it with a Bare Minerals Mineral Viel finishing powder and it makes my skin look fabulous and it lasts all day long.",2018-09-14 13:16:03,Makeup
Expand the shade range for this cult classic product. Deeper shades needed for the tan/ dusk skinned.,2018-09-14 12:42:10,Makeup
"Medium coverage, buildable, skin looks fresh, very light on the skin and last but not the least, great photos. You don't look like a ghost.",2018-09-14 11:03:37,Makeup
"I am so happy finally Nykaa has launched Makeup forever. This foundation is superb it gives very skin-like finish but it is not long lasting as Estée Lauder double wear                                                                                      Shade reference- Mac NC 40 = Y315                                           
It is award-winning foundation & first choice of makeup artist & film stars don't think twice just go for it.",2018-09-14 08:46:31,Makeup
Full coverage and dewy at the same time. Glad it is finally available on Nykaa.,2018-09-14 08:15:47,Makeup
I am nc37 in mac studio fix fluid foundation and y345 suit perfectly..:),2018-09-14 07:54:04,Makeup
"Its the best ever foundation! Gives you that medium to full buildable coverage! Seems like skin! It gives you the natural and fresh radiance and is looks real smooth! Does not look cakey at all and no patchiness! If youre looking for some high end foundation which will give you the results, this one is to go for!",2018-09-14 07:39:24,Makeup
"I was so desperately wanting it to be launched in India. Here it is..5 stars even before buying.
I'll review again after purchasing it.
Thanks a ton to Nykaa for launching makeup forever to India.",2018-09-14 06:19:24,Makeup
The name sounds so apt...such stunning shade... I topped it over Nykaa's relentless hunter & it looked gorgeous...Exactly like shown in the pictures...I was confused between dancing queen and disco gold coz they looked quite similar but the dancing queen has subtle golden flecks of shimmer in black but disco is all out there... Absolutely love it ...,2018-09-13 04:17:20,Makeup
You can find swatches on my YouTube www.youtube.com/parineetagrover or on insta @parineetagrover I found these polishes have a different texture as compared to normal polishes.. the dry differently and non-glossy surface.,2018-09-12 12:27:45,Makeup
"Totally recommend this. Pretty and stays for so long.I got mine in disco gold and gonna buy more. Great for party and weddings.
",2018-09-09 18:40:42,Makeup
"This is the 2nd time I am trying out these lipsticks. The texture is just fab, soo smooth.",2018-09-21 18:49:55,Makeup
"Well, i think i must have spent a big fat amount in finding that perfect nude to match my typical indian skin tone. My search ended with Faces Lip Crayon with shade Spiced Latte. I just love this one. Though i have to use a dark lipliner (maybelline rich chocolate) underneath however when i apply the crayon on top of it ""Magic"". It gives me the shade of perfect nude brown that i want. This shade is literally my go to lip color on any given day.",2018-09-20 18:13:36,Makeup
"Amazing lip crayon, matte finish 
highly pigmented 
beautiful shade 
love to use it 
long-lasting.",2018-09-18 13:48:48,Makeup
Each and every shade is beyond perfect. Everything is so so so good... The texture is creamy. It doesn't dry your lips and completely matte... Staying power 7-8 hours without retouch... most of the shades are suitable for every skin tone. Just go for these crayons.,2018-09-18 05:18:56,Makeup
"I must say that the faces' products are really good. I don't wear lipsticks usually but my mom uses faces' and so, I thought of trying it. But these crayons are so good and long lasting plus what a girl needs other than matte products. If you love matte, you should try it once.",2018-09-17 17:05:28,Makeup
"Brilliant brownish nude shade... It has a warm tone to it... Less peachy than cashmere but not too dark... Will suit all skin tones... Love the texture, staying power and pigmentation... Much love to this range...",2018-09-17 16:18:55,Makeup
It's a great buy... it's absolutely matte...Stays on for a long time....Love using it...,2018-09-17 13:41:13,Makeup
I can't imagine while going outside without it. It's very soft the peach colour suits me a lot.,2018-09-16 19:32:02,Makeup
Its a very beautiful peach brown nude colour. Very pigmented and matte.. if you are wearing heaving eye make up then this lip shade is must for for you. And it is also for daily use  too.,2018-09-15 18:44:59,Makeup
"Put me on, midnight rose and the pink pout, the girl next door these four shades I have now on my collection. These shades are really good lasts up to 7 hours .i would recommend everyone to put me on its a really beautiful shade. But I am not satisfied with the girl next door.",2018-09-15 16:00:25,Makeup
"I bought a pink pout,  put me on, midnight rose, a girl next door and  I would say that put me on is a beautiful shade. This crayon lasts up to 7-8 hours. But I’m not much satisfied with the shade girl next door.",2018-09-15 15:56:27,Makeup
Just loving this product. Ordering twice..it gives a beautiful colour on lips,2018-09-15 12:33:23,Makeup
Tried so many lip colors but dis one is the best. must have for everyone. the range of colors is awesome.,2018-09-15 11:18:52,Makeup
I love this product. long lasting & water proof.. and this color is perfect for dusky skin tone,2018-09-15 09:53:49,Makeup
