review,time,category
,06/11/17,Lipsticks
,26/10/17,Lipsticks
"Pigmented, Transfer-Proof, Smooth In Finish",04/12/17,Lipsticks
"Pigmented, Moisturizing, Transfer-Proof, Not Long Lasting, Smooth In Finish",30/06/18,Lipsticks
,24/07/18,Lipsticks
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",14/08/18,Lipsticks
"Pigmented, Not Moisturizing, Not Transfer Proof, Long Lasting, Smooth In Finish",10/10/17,Lipsticks
"Pigmented, Moisturizing, Not Transfer Proof, Not Long Lasting, Smooth In Finish",09/09/17,Lipsticks
,20/07/17,Lipsticks
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",08/09/18,Lipsticks
,29/06/18,Lipsticks
"Pigmented, Transfer-Proof, Long Lasting, Smooth In Finish",24/08/18,Lipsticks
,14/04/16,Lipsticks
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",03/04/17,Lipsticks
,24/12/15,Lipsticks
,13/11/17,Lipsticks
,17/02/18,Lipsticks
,17/08/17,Lipsticks
,26/05/18,Lipsticks
,13/04/18,Lipsticks
,11/01/18,Lipsticks
,19/11/17,Lipsticks
,11/12/17,Lipsticks
"Not Pigmented, Not Moisturizing, Not Transfer Proof, Not Smooth in Finish",04/12/17,Lipsticks
"Not Pigmented, Moisturizing, Not Transfer Proof, Not Long Lasting, Not Smooth in Finish",21/05/18,Lipsticks
"Pigmented, Moisturizing, Smooth In Finish",13/08/18,Lipsticks
"Pigmented, Moisturizing, Not Transfer Proof, Long Lasting, Smooth In Finish",14/08/18,Lipsticks
,23/04/18,Lipsticks
,07/04/18,Lipsticks
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",06/04/18,Lipsticks
"Moisturizing, Long Lasting, Smooth In Finish",10/04/18,Lipsticks
"Pigmented, Moisturizing, Not Transfer Proof, Not Long Lasting, Not Smooth in Finish",03/04/18,Lipsticks
,23/04/18,Lipsticks
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",22/07/18,Lipsticks
"Not Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",01/08/18,Lipsticks
"Not Pigmented, Moisturizing, Not Transfer Proof, Not Long Lasting, Smooth In Finish",14 days ago,Lipsticks
"Long Lasting, Smooth In Finish",03/03/18,Lipsticks
"Pigmented, Not Moisturizing, Not Transfer Proof, Not Long Lasting, Smooth In Finish",12/06/18,Lipsticks
,20/05/18,Lipsticks
,23/02/18,Lipsticks
"Pigmented, Moisturizing, Not Transfer Proof, Smooth In Finish",19/02/18,Lipsticks
"Pigmented, Moisturizing, Transfer-Proof, Long Lasting, Smooth In Finish",21/02/18,Lipsticks
"Not Transfer Proof, Not Long Lasting, Smooth In Finish",08/07/18,Lipsticks
,19/08/18,Lipsticks
